Date,low,high,open,close,volume
2020-12-31,11.08824,12.47666,11.24796,11.88126,3238494.13
2021-01-01,11.46666,12.45457,11.88126,12.23513,3960880.09
2021-01-02,11.83,14.03648,12.23427,13.70702,6836216.01
2021-01-03,12.3511,15.71713,13.72075,13.60876,10599370.14
2021-01-04,13.11426,14.94477,13.60098,14.56596,7178985.48
2021-01-05,14.15591,17.35557,14.56674,17.27249,10648089.91
2021-01-06,15.1,17.45,17.28044,15.99469,7765830.68
2021-01-07,14.05867,16.20612,15.99,15.24595,6764785.41
2021-01-08,15.0301,17.95897,15.26852,17.62978,5363151.37
2021-01-09,15.36001,18.5,17.62977,16.21958,6977888.64
2021-01-10,12.5,16.25594,16.21124,14.66602,12131490.59
2021-01-11,13.63107,15.4875,14.66216,13.95404,6747611.01
2021-01-12,13.267,16.23696,13.95625,15.94516,5519061.76
2021-01-13,15.33229,17.97272,15.96946,17.97239,5658122.06
2021-01-14,17.51331,21.4,17.9642,20.76328,17067351.08
2021-01-15,19.58,22.95833,20.75,20.12,11087036.27
2021-01-16,19.4,23.73,20.12977,23.26742,8620961.63
2021-01-17,21.11,23.69079,23.27016,22.03632,5091623.3
2021-01-18,20.32555,22.96573,22.02204,20.5531,5114683.91
2021-01-19,19.06001,21.98,20.55213,21.8575,5372167.17
2021-01-20,18.02953,22.03823,21.85267,18.41354,6167701.64
2021-01-21,17.10429,22.47757,18.39637,21.56518,7633736.88
2021-01-22,21.12108,25.511,21.573,24.83174,7366576.11
2021-01-23,23.15,24.94998,24.83174,24.83438,4264800.01
2021-01-24,22.572,25.83917,24.83438,23.3881,4689609.65
2021-01-25,21.64546,23.99999,23.36844,23.13576,3816380.2
2021-01-26,20.26,23.25039,23.13047,20.9969,3890903.37
2021-01-27,20.52438,24.49422,21.00021,23.07837,4913477.52
2021-01-28,22.07007,24.30653,23.08342,22.77436,4402177.42
2021-01-29,22.2144,23.98,22.75701,23.68064,2576628.24
2021-01-30,22.05,24.7,23.68956,22.57316,3129757.99
2021-01-31,21.65412,23.23,22.56886,22.89959,2733898.93
2021-02-01,22.75858,24.18247,22.8787,23.67457,2576775.33
2021-02-02,23.56009,25.58,23.67499,25.1273,3234024.23
2021-02-03,22.82,26.19544,25.13208,24.52854,4301624.23
2021-02-04,24.44865,27.0,24.51668,26.3425,5079593.09
2021-02-05,24.24381,26.82198,26.34659,25.08035,3626759.7
2021-02-06,22.90174,25.31274,25.07714,24.75,2691248.99
2021-02-07,24.00015,26.0,24.75772,25.46183,2724664.23
2021-02-08,25.01518,28.02985,25.46771,27.65837,4005402.22
2021-02-09,25.25,28.64831,27.6638,26.84211,4448569.73
2021-02-10,26.22094,28.58426,26.82352,27.87634,3542769.18
2021-02-11,26.71428,31.5,27.87307,30.72099,5336151.75
2021-02-12,29.09468,34.77,30.71218,34.25468,5133520.11
2021-02-13,32.3578,35.74999,34.26149,33.19261,5020581.86
2021-02-14,27.5,34.92,33.23007,32.58241,6205389.98
2021-02-15,30.80736,33.39455,32.59247,31.95171,3773291.0
2021-02-16,30.0,32.7,31.95171,32.25796,3180426.64
2021-02-17,31.78176,33.60503,32.24329,32.48306,1964708.91
2021-02-18,31.4,35.53932,32.50845,34.71995,3229919.69
2021-02-19,32.3745,36.92151,34.71989,33.97,4034859.17
2021-02-20,33.26628,35.3,33.96048,34.14866,1764904.42
2021-02-21,24.5327,34.23446,34.1493,31.48001,6267224.88
2021-02-22,21.0,31.68429,31.47826,25.9483,11634839.34
2021-02-23,24.53022,29.34892,25.96675,28.13126,5931870.69
2021-02-24,24.39866,28.72799,28.13417,24.73152,3433528.53
2021-02-25,23.69,27.03105,24.73475,25.16756,5250428.75
2021-02-26,24.82448,27.43814,25.18298,26.23968,2591575.54
2021-02-27,22.898,26.77338,26.22369,24.74591,3754730.9
