Date,low,high,open,close,volume
2021-02-08,1710.01,1824.23,1752.98,1772.16,345860.43376582
2021-02-09,1680.0,1839.0,1771.91,1742.93,368565.10934926
2021-02-10,1704.23,1819.0,1742.51,1787.32,263018.46640028
2021-02-11,1741.29,1868.9,1787.33,1845.0,324522.83669583
2021-02-12,1766.15,1877.88,1844.78,1818.01,222718.507164
2021-02-13,1785.07,1852.47,1817.85,1803.75,172443.99258151
2021-02-14,1659.93,1836.0,1803.25,1779.62,320429.97588848
2021-02-15,1725.0,1825.0,1780.59,1781.97,209801.29066471
2021-02-16,1733.87,1857.61,1782.14,1852.0,224624.79625355
2021-02-17,1851.47,1950.3,1851.9,1939.64,279501.81066288
2021-02-18,1890.0,1974.98,1939.64,1957.68,247118.43154671
2021-02-19,1811.25,2041.42,1957.9,1915.46,419107.37348279
2021-02-20,1885.0,1976.72,1915.01,1935.57,159669.07872776
2021-02-21,1507.34,1938.95,1935.67,1778.66,665395.31208108
2021-02-22,1356.0,1783.22,1778.33,1577.83,1013355.39743643
2021-02-23,1500.28,1714.0,1577.84,1625.3,440088.38004088
2021-02-24,1458.5,1672.49,1625.27,1482.62,335391.64228393
2021-02-25,1400.01,1564.11,1482.05,1445.18,380775.95904184
2021-02-26,1420.0,1526.82,1445.09,1460.57,231399.55692715
2021-02-27,1292.76,1469.96,1460.49,1422.02,460805.82144299
2021-02-28,1412.61,1574.28,1421.8,1571.82,313413.589566
2021-03-01,1455.86,1605.89,1571.87,1488.34,240668.58113618
2021-03-02,1476.72,1657.91,1488.34,1567.86,233779.70945241
2021-03-03,1504.06,1625.0,1568.4,1539.69,231528.48274717
2021-03-04,1442.32,1551.19,1539.53,1528.82,324961.01226774
2021-03-05,1512.45,1673.02,1528.82,1651.83,248888.00355718
2021-03-06,1631.07,1735.0,1651.75,1728.22,210732.49738587
2021-03-07,1664.08,1843.99,1727.95,1834.58,310581.14494936
2021-03-08,1800.0,1872.26,1834.88,1871.99,225203.26521323
2021-03-09,1756.29,1879.0,1871.93,1795.37,284059.53415917
2021-03-10,1725.0,1847.0,1795.55,1827.04,210929.2155979
2021-03-11,1721.15,1841.96,1826.53,1767.79,236995.37958528
2021-03-12,1728.3,1944.0,1766.76,1921.61,242511.38585835
2021-03-13,1836.61,1931.97,1921.76,1848.9,153591.2699543
2021-03-14,1734.87,1893.75,1848.56,1795.07,283178.47343009
2021-03-15,1706.25,1819.2,1794.08,1806.03,183635.76254277
2021-03-16,1742.0,1841.13,1805.7,1824.74,192527.7769105
2021-03-17,1758.4,1850.0,1824.45,1776.4,190138.5330396
2021-03-18,1734.29,1840.69,1776.4,1809.38,144695.63348271
2021-03-19,1800.55,1869.0,1808.95,1806.47,111937.33021974
2021-03-20,1748.25,1818.86,1806.04,1784.0,121647.31152544
2021-03-21,1657.17,1806.39,1784.11,1681.02,200417.24791012
2021-03-22,1651.58,1723.61,1681.4,1668.09,212509.86225776
2021-03-23,1545.77,1740.91,1668.37,1581.79,278130.15826272
2021-03-24,1548.69,1622.27,1581.97,1587.08,286235.84724682
2021-03-25,1586.81,1700.7,1587.01,1700.1,175253.6705026
2021-03-26,1666.4,1732.85,1699.97,1713.88,110263.21715736
2021-03-27,1662.0,1725.71,1713.96,1686.92,95999.89882024
2021-03-28,1675.28,1841.88,1686.92,1815.73,203102.37426045
2021-03-29,1785.77,1860.0,1815.73,1841.16,151376.69947985
2021-03-30,1771.94,1948.0,1841.03,1920.0,263472.22513295
2021-03-31,1886.11,1982.21,1919.99,1968.38,206220.44426132
2021-04-01,1948.67,2145.0,1968.74,2134.68,273307.72019019
2021-04-02,2000.0,2139.33,2134.38,2009.25,198152.20897275
2021-04-03,1980.0,2093.07,2008.97,2076.36,117506.19033922
2021-04-04,2003.1,2131.27,2076.31,2106.98,150633.34725495
2021-04-05,2046.08,2151.0,2107.45,2113.0,195664.36827122
2021-04-06,1929.69,2128.99,2113.55,1964.23,297887.0746854
2021-04-07,1949.34,2084.54,1964.69,2081.29,134740.59760903
2021-04-08,2048.41,2100.0,2081.29,2066.03,116343.17660276
2021-04-09,2057.2,2195.0,2066.5,2133.08,172198.2806936
2021-04-10,2112.58,2163.18,2133.07,2150.54,83861.37599123
2021-04-11,2102.55,2199.11,2150.54,2138.03,127578.86243868
2021-04-12,2135.9,2317.3,2138.02,2299.92,230007.9920857
2021-04-13,2283.26,2446.91,2300.01,2432.54,322816.09722215
2021-04-14,2401.25,2546.82,2432.16,2517.03,218658.15563428
2021-04-15,2305.0,2548.0,2517.03,2426.64,305993.48077725
2021-04-16,2305.55,2497.84,2426.64,2318.7,184015.29039346
2021-04-17,2000.0,2341.0,2319.11,2241.46,484164.17039406
2021-04-18,2050.0,2282.6,2241.67,2163.82,269095.50575273
2021-04-19,2054.25,2349.5,2163.69,2332.6,312215.54603767
2021-04-20,2237.02,2471.72,2332.18,2357.21,305022.6790685
2021-04-21,2304.0,2646.2,2357.74,2399.99,584078.8877022
2021-04-22,2040.0,2442.29,2399.21,2370.05,644161.18986279
2021-04-23,2158.36,2371.18,2369.8,2216.72,220990.83137577
2021-04-24,2166.0,2358.22,2216.18,2322.16,253708.11161981
2021-04-25,2306.03,2542.04,2322.43,2534.0,310905.02678021
2021-04-26,2484.56,2683.0,2533.99,2667.86,276539.98979416
2021-04-27,2551.0,2762.59,2667.86,2751.59,388997.91493036
2021-04-28,2672.0,2800.0,2751.56,2758.92,289566.94008224
2021-04-29,2727.0,2800.0,2758.92,2776.45,203784.33868508
2021-04-30,2757.28,2955.9,2776.76,2948.92,219121.32332416
2021-05-01,2855.29,2986.0,2948.92,2952.09,158755.45128689
2021-05-02,2952.08,3457.75,2952.21,3433.99,552087.28112543
2021-05-03,3166.12,3534.5,3433.99,3240.01,713308.42978124
2021-05-04,3201.33,3550.0,3239.61,3529.97,466260.19811275
2021-05-05,3381.11,3610.91,3529.96,3492.75,368967.13672979
2021-05-06,3356.69,3595.07,3492.33,3484.7,305837.39644288
2021-05-07,3455.0,3962.44,3484.69,3917.26,329490.02398979
2021-05-08,3726.29,3984.0,3917.26,3928.44,303199.06513222
2021-05-09,3650.01,4213.85,3928.41,3949.45,591122.82046763
2021-05-10,3760.0,4183.25,3949.45,4179.76,371785.21687275
2021-05-11,3700.0,4384.43,4179.77,3826.37,617506.79293758
2021-05-12,3525.62,4055.62,3826.37,3719.23,812296.19058095
2021-05-13,3695.0,4177.77,3719.22,4080.51,344804.82454669
2021-05-14,3632.0,4138.0,4080.51,3649.54,332664.12210277
2021-05-15,3334.88,3878.23,3648.16,3585.62,496714.18827206
2021-05-16,3101.0,3590.0,3584.79,3283.32,681492.46445778
2021-05-17,3241.06,3567.4,3283.32,3375.96,443596.42566946
2021-05-18,1860.0,3444.96,3376.98,2443.91,1664158.9063247
2021-05-19,2156.0,2999.99,2443.91,2775.07,1050830.69730324
2021-05-20,2105.0,2950.0,2775.06,2434.86,936011.86609611
2021-05-21,2156.0,2486.29,2434.86,2297.19,665111.58789821
2021-05-22,1728.0,2382.0,2296.68,2099.58,1045012.76021567
2021-05-23,2072.15,2678.25,2100.07,2651.24,860939.09041545
2021-05-24,2383.39,2768.0,2651.57,2707.56,725633.89598362
2021-05-25,2647.21,2913.68,2707.75,2889.84,532990.73904717
2021-05-26,2639.32,2893.96,2889.43,2745.51,380707.48775302
2021-05-27,2329.2,2762.91,2745.25,2413.81,657497.5191979
2021-05-28,2207.74,2574.86,2413.28,2280.72,496783.55299687
2021-05-29,2182.2,2480.69,2280.78,2387.66,388966.15183724
2021-05-30,2275.22,2720.0,2387.65,2707.12,400639.23849696
2021-05-31,2527.88,2748.0,2707.87,2634.42,341435.04494495
2021-06-01,2552.28,2803.0,2634.46,2706.64,268753.93459884
2021-06-02,2663.02,2890.0,2706.87,2856.68,254235.89167581
2021-06-03,2554.39,2859.85,2856.73,2690.68,294466.9594428
2021-06-04,2552.18,2816.92,2691.13,2629.75,228143.70836692
2021-06-05,2615.0,2745.36,2629.45,2710.97,122420.16649011
2021-06-06,2575.0,2849.15,2710.97,2592.47,267934.37140931
2021-06-07,2306.52,2621.91,2592.47,2509.11,451505.06172677
2021-06-08,2406.33,2628.16,2509.1,2611.27,291643.03769418
2021-06-09,2428.16,2625.0,2611.4,2471.59,181679.49879048
2021-06-10,2322.16,2499.34,2471.59,2355.27,189880.6813896
2021-06-11,2257.07,2452.58,2355.11,2371.49,177293.96771257
2021-06-12,2309.67,2550.0,2371.85,2510.23,172712.48563163
2021-06-13,2461.63,2609.02,2510.22,2582.86,169626.35302782
2021-06-14,2506.23,2640.0,2582.45,2543.58,168529.3479128
2021-06-15,2351.01,2555.0,2543.57,2367.73,178257.28803783
2021-06-16,2306.35,2459.53,2368.24,2373.33,153637.62400874
2021-06-17,2125.12,2377.8,2373.33,2234.47,273328.22658507
2021-06-18,2162.72,2279.0,2234.8,2164.72,162828.91242019
2021-06-19,2042.5,2275.78,2165.13,2242.9,231871.91509491
2021-06-20,1864.5,2259.1,2242.89,1885.67,598655.07269099
